id;id_venda;dt_pgto
198;238;08/04/2018
199;239;23/05/2020
200;241;29/09/2020
201;243;14/05/2020
202;244;06/06/2020
203;245;19/07/2019
204;246;01/10/2020
205;248;11/05/2019
206;250;02/10/2020
207;251;08/04/2020
208;252;05/07/2020
209;253;18/07/2019
210;254;04/10/2020
211;255;22/10/2020
212;256;21/08/2020
213;257;25/06/2020
214;258;22/08/2019
215;260;01/03/2020
216;261;27/08/2019
217;262;10/02/2019
218;264;26/01/2019
219;266;03/08/2018
220;267;13/10/2020
221;269;19/10/2019
222;270;04/10/2018
223;271;30/06/2018
224;273;07/02/2019
225;274;12/10/2019
226;275;10/06/2020
227;276;20/10/2020
228;277;08/01/2020
229;278;01/05/2018
230;279;14/09/2018
231;280;06/08/2019
232;281;28/06/2019
233;282;30/07/2018
234;283;24/08/2018
235;284;13/05/2018
236;285;05/03/2020
237;286;26/04/2020
238;287;16/08/2018
239;288;10/11/2020
240;290;21/06/2019
241;291;02/06/2020
242;292;04/09/2018
243;293;28/08/2018
244;294;27/04/2020
245;295;14/06/2018
246;296;18/12/2019
247;297;08/07/2019
248;298;23/11/2018
249;299;30/01/2018
250;301;13/09/2020
251;303;07/02/2019
252;304;19/08/2018
253;305;24/08/2019
254;306;13/05/2018
255;307;27/12/2019
256;308;18/04/2020
257;310;17/08/2019
258;311;18/11/2018
259;312;11/10/2018
260;313;07/05/2020
261;314;11/04/2020
262;315;03/06/2018
263;316;12/04/2019
264;317;18/12/2019
265;318;06/07/2018
266;319;20/06/2020
267;321;20/05/2020
268;322;08/05/2018
269;323;20/02/2018
270;325;02/11/2018
271;327;02/01/2020
272;328;08/02/2020
273;329;22/01/2018
274;330;05/06/2018
275;331;08/04/2019
276;332;31/01/2018
277;333;12/10/2019
278;334;29/06/2020
279;335;12/11/2018
280;336;10/08/2018
281;337;08/12/2019
282;338;03/04/2020
283;339;13/08/2018
284;340;09/03/2020
285;341;11/02/2020
286;342;18/08/2018
287;344;23/07/2020
288;346;20/06/2018
289;347;22/09/2019
290;348;05/07/2020
291;349;29/11/2019
292;350;28/07/2018
293;351;10/12/2019
294;352;17/08/2019
295;353;29/01/2020
296;357;08/04/2019
297;358;04/11/2018
298;359;09/03/2020
299;360;27/10/2018
300;361;02/03/2018
301;362;20/04/2020
302;363;18/03/2020
303;364;24/11/2019
304;365;17/03/2018
305;366;06/06/2018
306;367;28/11/2019
307;369;31/08/2019
308;370;07/07/2019
309;372;23/09/2019
310;373;29/11/2019
311;374;15/03/2019
312;375;25/02/2020
313;376;02/08/2020
314;377;09/02/2019
315;378;24/09/2020
316;379;23/04/2018
317;381;02/09/2019
318;383;18/05/2020
319;384;12/11/2018
320;385;02/08/2018
321;386;24/07/2019
322;387;23/11/2019
323;388;05/10/2020
324;389;06/01/2020
325;390;14/10/2020
326;391;19/08/2020
327;392;22/05/2019
328;393;15/07/2020
329;395;31/05/2018
330;396;27/02/2019
331;397;22/10/2019
332;398;20/02/2018
333;399;26/01/2018
334;400;29/04/2018
335;401;20/03/2019
336;404;15/07/2019
337;406;12/07/2018
338;407;19/06/2019
339;408;17/09/2018
340;409;22/09/2019
341;410;14/11/2019
342;411;15/01/2019
343;412;23/04/2019
344;413;09/09/2018
345;415;03/07/2019
346;416;23/04/2019
347;418;29/10/2019
348;419;26/05/2020
349;420;17/04/2020
350;421;06/10/2018
351;422;16/04/2018
352;423;15/06/2018
353;424;07/04/2019
354;425;30/03/2019
355;428;05/12/2018
356;429;10/04/2019
357;430;09/06/2019
358;431;28/09/2018
359;432;03/11/2019
360;433;04/12/2019
361;435;21/11/2018
362;436;04/09/2018
363;437;08/08/2018
364;438;09/12/2018
365;439;03/03/2018
366;440;16/10/2018
367;441;04/08/2018
368;442;05/09/2018
369;443;07/09/2020
370;444;06/10/2019
371;445;23/05/2018
372;446;16/02/2019
373;447;29/10/2018
374;448;18/08/2018
375;449;24/08/2020
376;451;20/04/2019
377;452;17/12/2019
378;453;30/12/2019
379;454;10/08/2020
380;455;22/07/2019
381;456;05/10/2020
382;457;06/08/2019
383;458;08/09/2018
384;459;08/11/2019
385;461;16/06/2018
386;462;02/11/2019
387;463;27/01/2018
388;464;10/07/2020
389;466;04/03/2020
390;469;30/04/2018
391;470;20/08/2020
392;472;20/06/2019
393;475;26/08/2019
394;476;21/02/2019
395;477;02/03/2019
396;478;23/08/2018
397;479;15/01/2020
398;480;03/07/2018
399;481;18/06/2019
400;482;30/11/2019
401;485;13/02/2018
402;486;30/12/2018
403;487;29/07/2020
404;488;10/07/2018
405;489;01/04/2019
406;490;19/08/2020
407;491;02/05/2019
408;492;18/02/2018
409;493;06/12/2018
410;494;30/09/2018
411;495;28/11/2018
412;496;15/12/2019
413;497;06/07/2020
414;498;30/05/2020
415;500;28/06/2020
416;501;25/02/2020
417;502;26/08/2019
418;503;30/08/2018
419;504;15/07/2020
420;505;05/01/2019
421;506;05/03/2019
422;507;21/02/2019
423;509;27/06/2019
424;510;17/08/2018
425;511;07/07/2020
426;512;24/09/2019
427;514;08/06/2019
428;515;18/06/2018
429;516;04/06/2018
430;517;13/07/2018
431;518;29/03/2018
432;519;26/11/2019
433;520;02/06/2018
434;521;19/06/2018
435;523;10/10/2020
436;524;10/10/2019
437;525;13/09/2018
438;526;04/07/2018
439;527;27/06/2020
440;528;02/03/2020
441;530;24/03/2018
442;532;25/03/2020
443;533;10/03/2019
444;534;08/02/2020
445;535;07/04/2020
446;536;26/06/2019
447;537;27/06/2020
448;538;03/04/2019
449;539;09/11/2019
450;540;30/08/2018
451;542;21/05/2020
452;543;30/08/2020
453;544;11/02/2019
454;545;11/05/2019
455;546;06/11/2019
456;548;16/08/2018
457;549;01/11/2018
458;551;26/11/2018
459;552;12/06/2020
460;555;11/01/2019
461;556;31/08/2019
462;557;24/09/2020
463;558;23/03/2019
464;559;14/06/2020
465;561;14/04/2020
466;562;21/05/2019
467;564;03/01/2019
468;565;31/03/2019
469;566;01/02/2020
470;567;06/11/2020
471;570;18/03/2019
472;571;16/08/2018
473;573;28/08/2020
474;574;30/10/2019
475;575;28/07/2019
476;577;15/03/2020
477;579;15/05/2018
478;580;28/01/2018
479;581;17/07/2018
480;582;21/03/2018
481;583;27/07/2018
482;584;09/01/2020
483;585;14/12/2018
484;586;06/12/2018
485;587;23/02/2019
486;588;13/06/2019
487;590;12/11/2018
488;591;19/11/2019
489;592;05/05/2020
490;593;10/08/2019
491;594;23/02/2018
492;595;16/11/2018
493;596;12/09/2019
494;597;15/04/2020
495;598;08/08/2018
496;599;19/05/2020
497;600;21/09/2020
498;601;22/08/2019
499;602;22/12/2018
500;604;16/07/2020
501;605;22/03/2020
502;606;09/05/2020
503;607;07/08/2018
504;608;02/05/2019
505;611;04/05/2019
506;613;09/03/2018
507;614;10/12/2018
508;615;05/04/2018
509;617;25/04/2020
510;619;25/07/2019
511;620;23/08/2019
512;622;11/07/2018
513;623;01/02/2020
514;624;21/04/2018
515;625;08/10/2018
516;626;21/12/2018
517;627;27/06/2018
518;628;22/07/2020
519;629;07/08/2020
520;630;29/05/2018
521;631;16/08/2019
522;632;21/03/2019
523;633;15/07/2020
524;634;27/02/2018
525;635;06/10/2018
526;636;05/02/2020
527;638;17/02/2018
528;639;17/07/2019
529;640;19/02/2018
530;641;01/02/2020
531;642;23/04/2020
532;643;05/12/2018
533;644;02/01/2020
534;645;28/01/2020
535;646;04/03/2020
536;647;28/10/2019
537;648;23/06/2018
538;649;12/04/2020
539;650;04/10/2018
540;651;24/07/2020
541;652;18/08/2019
542;653;04/08/2019
543;654;16/03/2019
544;655;26/12/2019
545;656;24/09/2020
546;657;09/08/2019
547;658;14/06/2018
548;659;31/10/2018
549;660;19/09/2020
550;661;26/01/2019
551;662;02/06/2019
552;663;14/07/2018
553;664;28/06/2019
554;665;10/01/2020
555;666;05/02/2019
556;668;24/03/2018
557;670;02/03/2018
558;671;19/07/2020
559;672;29/02/2020
560;673;04/06/2019
561;674;27/03/2020
562;675;23/03/2018
563;676;02/04/2018
564;677;04/07/2020
565;678;07/09/2020
566;679;30/04/2020
567;680;20/09/2018
568;681;21/01/2018
569;682;25/10/2019
570;683;06/01/2019
571;684;01/12/2018
572;685;28/04/2019
573;686;31/03/2019
574;687;14/11/2019
575;688;21/05/2020
576;689;17/03/2018
577;690;20/03/2020
578;692;28/06/2019
579;693;24/06/2018
580;694;01/03/2019
581;695;10/01/2020
582;696;24/03/2019
583;697;12/03/2018
584;698;17/09/2020
585;699;14/06/2020
586;700;12/09/2018
587;701;09/01/2019
588;702;14/02/2020
589;703;14/02/2020
590;704;17/12/2018
591;705;21/07/2019
592;706;25/01/2020
593;707;20/12/2019
594;708;26/04/2018
595;709;10/09/2018
596;710;01/03/2018
597;712;26/06/2019
598;713;07/07/2020
599;715;03/08/2020
600;716;11/04/2019
601;717;13/06/2018
602;718;31/03/2019
603;719;07/04/2020
604;720;06/07/2018
605;721;14/07/2018
606;722;26/06/2018
607;724;06/09/2020
608;725;25/07/2018
609;727;17/07/2019
610;728;06/05/2020
611;729;18/07/2020
612;730;12/12/2018
613;731;26/01/2019
614;732;16/07/2019
615;733;01/11/2018
616;734;04/01/2020
617;735;02/08/2019
618;736;21/07/2018
619;738;11/02/2020
620;739;09/11/2018
621;740;07/11/2019
622;741;24/06/2020
623;742;26/02/2019
624;743;09/04/2020
625;744;06/04/2020
626;745;09/07/2020
627;747;28/08/2019
628;748;28/02/2019
629;749;08/04/2020
630;750;11/07/2019
631;751;21/09/2020
632;752;30/06/2019
633;753;21/05/2018
634;754;08/07/2018
635;755;13/04/2019
636;756;04/04/2018
637;757;02/06/2020
638;759;15/03/2019
639;760;19/12/2018
640;761;01/01/2020
641;762;30/10/2019
642;763;09/06/2018
643;764;13/05/2019
644;765;22/06/2020
645;767;31/08/2019
646;768;06/06/2019
647;770;08/03/2020
648;771;25/02/2018
649;772;16/10/2019
650;773;11/03/2019
651;774;28/04/2020
652;775;12/08/2018
653;776;26/07/2019
654;777;26/10/2018
655;778;15/06/2019
656;779;17/02/2019
657;781;15/12/2018
658;783;31/01/2019
659;784;09/08/2019
660;786;26/11/2018
661;788;29/10/2018
662;789;31/07/2020
663;790;07/12/2019
664;791;18/05/2018
665;792;01/02/2020
666;793;10/08/2018
667;794;07/08/2020
668;795;21/03/2018
669;796;02/01/2020
670;798;22/12/2018
671;799;30/04/2020
672;800;02/11/2019
673;801;07/10/2019
674;802;14/02/2019
675;804;23/05/2018
676;805;18/08/2019
677;808;21/09/2019
678;810;21/08/2020
679;811;06/10/2018
680;812;17/04/2018
681;813;12/09/2020
682;814;10/01/2020
683;815;22/09/2019
684;816;05/02/2019
685;817;27/02/2019
686;818;24/11/2018
687;819;30/04/2019
688;820;22/10/2018
689;821;30/01/2019
690;822;10/10/2019
691;823;17/08/2020
692;824;21/06/2018
693;825;25/09/2018
694;826;16/07/2019
695;827;24/05/2020
696;828;02/06/2020
697;830;26/01/2020
698;831;26/01/2020
699;832;16/06/2020
700;834;04/11/2018
701;835;23/04/2020
702;836;12/09/2019
703;837;03/11/2018
704;839;29/08/2020
705;840;03/06/2018
706;841;10/09/2018
707;842;29/12/2018
708;843;10/12/2018
709;844;22/09/2020
710;845;13/06/2020
711;846;06/06/2018
712;847;13/07/2019
713;849;23/08/2020
714;850;01/02/2018
715;851;27/04/2019
716;852;05/05/2019
717;853;07/10/2019
718;854;30/11/2018
719;856;16/12/2018
720;857;10/01/2020
721;858;29/10/2019
722;859;30/01/2019
723;860;28/05/2020
724;861;20/02/2019
725;862;08/01/2019
726;863;22/06/2019
727;864;23/06/2020
728;866;16/09/2020
729;867;17/01/2019
730;868;15/04/2018
731;869;05/05/2019
732;870;19/02/2020
733;872;06/04/2018
734;873;15/10/2018
735;875;25/09/2018
736;876;14/10/2019
737;878;05/05/2020
738;879;01/03/2020
739;880;28/04/2019
740;881;17/04/2019
741;882;12/08/2018
742;884;24/11/2019
743;885;21/07/2018
744;886;23/09/2019
745;887;12/08/2020
746;888;18/09/2019
747;890;13/08/2019
748;891;08/06/2019
749;892;25/11/2018
750;894;20/09/2019
751;895;12/03/2020
752;896;18/05/2019
753;897;20/05/2018
754;898;10/11/2018
755;899;01/07/2020
756;900;03/02/2020
757;902;30/12/2018
758;903;22/09/2018
759;904;26/11/2019
760;905;07/02/2020
761;906;25/08/2020
762;907;19/03/2019
763;908;09/10/2020
764;909;16/02/2020
765;910;09/12/2019
766;911;12/03/2019
767;913;28/01/2018
768;914;27/10/2019
769;915;11/07/2020
770;917;30/01/2019
771;919;11/11/2018
772;920;21/12/2019
773;921;03/03/2018
774;922;26/11/2019
775;923;10/08/2018
776;924;27/11/2019
777;925;04/06/2020
778;926;23/12/2019
779;927;21/07/2019
780;928;14/05/2020
781;929;11/07/2018
782;930;06/06/2018
783;931;27/02/2018
784;932;04/08/2019
785;933;17/03/2019
786;935;04/10/2020
787;936;08/05/2018
788;937;10/04/2019
789;938;20/04/2018
790;941;16/05/2020
791;942;20/09/2020
792;943;03/03/2018
793;944;18/10/2018
794;945;20/05/2019
795;946;18/03/2018
796;947;02/11/2018
797;948;18/08/2020
798;949;14/12/2019
799;950;06/04/2020
800;951;14/08/2018
801;952;19/05/2018
802;953;20/06/2019
803;954;24/08/2018
804;955;12/09/2019
805;956;22/02/2020
806;957;20/06/2019
807;958;02/04/2018
808;960;17/06/2020
809;961;22/07/2019
810;962;14/07/2019
811;963;27/05/2019
812;964;17/05/2019
813;965;28/10/2019
814;966;11/12/2018
815;968;24/02/2018
816;969;24/06/2018
817;970;28/02/2019
818;971;05/12/2018
819;972;24/05/2020
820;973;07/07/2020
821;974;07/10/2020
822;975;26/04/2018
823;976;28/03/2020
824;977;03/07/2018
825;978;30/12/2019
826;979;06/08/2018
827;980;08/01/2019
828;981;28/09/2020
829;982;11/06/2019
830;983;29/08/2020
831;984;02/09/2018
832;986;19/10/2019
833;987;07/09/2019
834;988;02/03/2020
835;989;23/08/2018
836;991;20/06/2020
837;992;13/10/2019
838;993;02/05/2019
839;994;13/05/2018
840;995;11/01/2019
841;996;07/05/2018
842;997;02/09/2019
843;998;01/04/2018
844;1000;15/01/2019
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
