id;id_cliente;id_loja;id_produto;dt_venda
257;16;3;7;05/06/2020
258;254;4;1;12/07/2019
259;794;4;9;28/03/2020
260;26;5;2;22/02/2020
261;346;3;10;18/08/2019
262;876;7;10;05/01/2019
263;716;4;7;29/06/2020
264;551;6;3;16/12/2018
265;564;10;3;02/04/2019
266;51;8;2;03/07/2018
267;964;10;2;10/09/2020
268;297;10;6;04/04/2020
269;540;5;3;06/10/2019
270;552;8;7;02/10/2018
271;227;6;1;30/05/2018
272;6;1;4;17/09/2018
273;515;4;8;25/12/2018
274;232;6;2;29/08/2019
275;829;4;9;06/06/2020
276;19;4;5;25/09/2020
277;959;4;1;11/12/2019
278;953;6;1;27/04/2018
279;529;6;7;02/09/2018
280;4;8;3;04/08/2019
281;138;10;7;27/05/2019
282;831;4;1;23/06/2018
283;997;1;3;12/08/2018
284;783;1;2;02/04/2018
285;762;10;3;11/02/2020
286;120;3;4;28/03/2020
287;288;6;7;15/07/2018
288;274;8;4;27/09/2020
289;362;6;9;11/11/2018
290;813;7;8;16/05/2019
291;127;4;3;06/05/2020
292;212;6;8;21/07/2018
293;999;1;6;27/07/2018
294;899;5;8;29/03/2020
295;83;6;1;20/05/2018
296;586;7;9;26/11/2019
297;301;4;7;13/06/2019
298;928;5;9;12/10/2018
299;830;6;7;21/01/2018
300;724;1;10;28/07/2019
301;639;8;7;30/08/2020
302;618;10;9;19/08/2020
303;896;1;3;28/12/2018
304;260;2;4;06/07/2018
305;297;2;1;29/07/2019
306;331;5;8;29/04/2018
307;607;9;6;27/11/2019
308;573;9;8;14/04/2020
309;557;4;1;18/04/2018
310;591;5;7;14/07/2019
311;485;5;3;15/10/2018
312;770;3;3;17/09/2018
313;671;10;4;29/04/2020
314;222;6;4;27/02/2020
315;968;10;9;19/04/2018
316;325;5;5;13/03/2019
317;762;1;8;15/11/2019
318;534;9;8;27/06/2018
319;76;2;5;10/06/2020
320;979;7;6;26/03/2018
321;253;1;2;20/04/2020
322;980;4;1;01/04/2018
323;4;3;7;07/01/2018
324;997;1;10;24/06/2020
325;694;4;6;14/10/2018
326;659;3;7;06/05/2018
327;397;3;8;17/12/2019
328;954;9;3;04/01/2020
329;799;3;2;10/01/2018
330;293;3;9;29/04/2018
331;764;3;6;07/03/2019
332;380;9;10;24/01/2018
333;80;8;1;04/10/2019
334;576;4;1;10/06/2020
335;999;3;1;05/10/2018
336;238;3;3;27/06/2018
337;35;8;8;04/12/2019
338;420;2;10;28/02/2020
339;217;1;8;08/07/2018
340;402;5;6;03/03/2020
341;519;6;7;29/12/2019
342;383;4;8;10/07/2018
343;901;4;5;27/07/2018
344;541;7;4;16/06/2020
345;837;10;2;06/07/2018
346;317;6;8;29/05/2018
347;961;4;5;28/08/2019
348;859;10;7;25/05/2020
349;830;4;8;11/11/2019
350;32;10;7;16/06/2018
351;677;9;8;31/10/2019
352;713;6;4;15/08/2019
353;640;7;6;22/12/2019
354;551;4;10;30/09/2018
355;154;9;7;31/05/2020
356;992;9;3;07/06/2020
357;514;3;10;06/03/2019
358;347;1;4;05/10/2018
359;822;7;6;25/01/2020
360;347;7;9;28/09/2018
361;426;2;8;16/01/2018
362;797;5;8;09/03/2020
363;822;7;8;24/02/2020
364;169;9;10;03/11/2019
365;723;1;1;24/02/2018
366;445;4;2;27/05/2018
367;378;7;4;19/10/2019
368;85;2;2;29/04/2019
369;743;5;8;04/08/2019
370;809;6;6;15/06/2019
371;743;3;5;30/10/2019
372;364;5;4;08/09/2019
373;204;5;7;22/11/2019
374;524;2;4;21/02/2019
375;673;8;1;25/01/2020
376;867;6;10;09/07/2020
377;557;6;10;06/01/2019
378;813;10;3;13/08/2020
379;451;4;3;19/03/2018
380;194;10;9;02/01/2020
381;659;2;10;11/08/2019
382;186;7;5;25/05/2018
383;880;4;1;06/04/2020
384;200;4;3;14/10/2018
385;609;9;9;07/07/2018
386;611;10;9;11/07/2019
387;735;8;6;17/10/2019
388;577;6;3;30/08/2020
389;440;4;6;10/12/2019
390;650;8;9;10/09/2020
391;813;3;2;26/07/2020
392;786;7;10;04/05/2019
393;861;8;9;11/07/2020
394;585;1;7;03/05/2019
395;828;7;8;05/05/2018
396;39;5;3;13/02/2019
397;572;4;3;09/09/2019
398;213;10;8;04/02/2018
399;156;6;2;13/01/2018
400;275;2;2;17/04/2018
401;948;5;10;10/02/2019
402;559;1;7;22/05/2020
403;149;4;5;05/05/2019
404;46;3;5;09/06/2019
405;174;5;5;02/07/2019
406;341;2;5;18/06/2018
407;334;7;2;15/06/2019
408;422;7;7;10/08/2018
409;232;2;7;19/08/2019
410;995;2;6;08/10/2019
411;193;6;1;06/12/2018
412;9;10;3;21/04/2019
413;326;7;9;04/08/2018
414;351;2;1;31/01/2018
415;1;4;9;19/06/2019
416;415;4;2;26/03/2019
417;611;8;9;28/04/2018
418;470;7;4;16/10/2019
419;853;10;8;14/04/2020
420;281;7;10;04/03/2020
421;370;5;4;06/10/2018
422;110;10;10;06/03/2018
423;339;3;9;18/05/2018
424;591;6;5;20/03/2019
425;921;9;6;15/02/2019
426;675;4;7;24/03/2018
427;531;10;9;02/10/2018
428;54;9;7;13/11/2018
429;468;3;3;01/04/2019
430;388;3;2;29/04/2019
431;324;4;1;21/09/2018
432;165;6;7;03/10/2019
433;293;9;9;08/11/2019
434;876;7;3;03/09/2020
435;641;1;8;26/10/2018
436;472;10;1;01/08/2018
437;969;4;4;06/08/2018
438;323;10;2;11/11/2018
439;395;8;9;03/02/2018
440;45;5;3;01/10/2018
441;315;5;8;01/07/2018
442;535;4;3;30/08/2018
443;560;1;4;02/08/2020
444;692;10;7;29/08/2019
445;34;9;1;13/04/2018
446;864;4;2;14/01/2019
447;901;6;7;18/10/2018
448;246;10;4;05/08/2018
449;808;1;8;06/08/2020
450;104;5;6;19/06/2018
451;714;3;4;26/03/2019
452;990;5;10;04/12/2019
453;467;5;8;28/11/2019
454;590;6;8;19/07/2020
455;922;9;6;09/06/2019
456;627;9;4;08/09/2020
457;816;9;1;06/07/2019
458;727;7;7;30/08/2018
459;848;6;9;11/10/2019
460;631;1;8;21/12/2018
461;804;4;6;10/06/2018
462;566;9;3;27/09/2019
463;795;3;6;14/01/2018
464;594;5;4;29/05/2020
465;386;10;9;07/12/2018
466;457;5;5;23/01/2020
467;300;1;1;03/09/2019
468;755;1;8;25/09/2019
469;60;4;4;20/03/2018
470;53;9;2;04/08/2020
471;509;9;1;04/05/2019
472;74;2;6;07/05/2019
473;949;6;9;21/09/2018
474;632;1;3;25/08/2019
475;941;1;7;23/08/2019
476;4;6;4;01/02/2019
477;809;5;9;29/01/2019
478;645;9;9;05/08/2018
479;671;9;10;12/01/2020
480;556;3;2;25/06/2018
481;51;9;3;27/05/2019
482;259;1;10;25/10/2019
483;518;1;1;21/07/2019
484;210;3;9;27/02/2020
485;637;4;10;26/01/2018
486;757;6;4;07/12/2018
487;267;7;2;22/07/2020
488;192;2;9;22/06/2018
489;966;3;9;15/02/2019
490;920;4;10;12/08/2020
491;935;2;10;02/04/2019
492;298;1;6;21/01/2018
493;267;9;1;14/11/2018
494;904;8;6;13/09/2018
495;613;7;10;15/10/2018
496;884;10;3;25/11/2019
497;305;6;3;18/06/2020
498;766;6;3;23/04/2020
499;341;8;9;23/08/2019
500;846;9;3;31/05/2020
501;990;3;8;27/01/2020
502;383;1;4;25/08/2019
503;860;9;5;29/08/2018
504;603;1;10;26/06/2020
505;967;7;6;21/12/2018
506;982;4;2;24/01/2019
507;741;8;3;29/01/2019
508;163;8;10;11/05/2020
509;291;5;9;24/05/2019
510;167;6;3;20/07/2018
511;613;2;1;25/06/2020
512;239;3;10;19/09/2019
513;901;1;7;19/07/2020
514;808;2;2;30/05/2019
515;617;8;3;24/05/2018
516;199;5;10;21/04/2018
517;42;7;10;02/07/2018
518;679;5;10;24/02/2018
519;98;2;4;13/10/2019
520;9;8;7;12/05/2018
521;265;8;1;11/05/2018
522;561;1;4;04/06/2018
523;399;2;4;12/09/2020
524;379;3;6;02/09/2019
525;232;7;1;07/09/2018
526;57;1;2;26/05/2018
527;787;7;1;14/05/2020
528;854;8;1;02/03/2020
529;10;7;2;12/05/2018
530;281;6;8;20/02/2018
531;278;2;6;25/04/2019
532;348;1;10;10/02/2020
533;31;10;1;09/03/2019
534;954;1;10;25/12/2019
535;845;7;3;10/03/2020
536;411;7;3;11/06/2019
537;19;10;10;05/06/2020
538;495;6;10;03/03/2019
539;276;5;4;26/09/2019
540;256;2;5;23/07/2018
541;863;4;7;03/09/2019
542;628;3;10;18/04/2020
543;685;8;1;06/08/2020
544;209;2;9;22/01/2019
545;627;6;10;29/03/2019
546;6;6;5;31/10/2019
547;883;2;9;10/12/2019
548;136;7;3;06/08/2018
549;208;7;9;17/09/2018
550;379;10;6;09/10/2018
551;232;5;9;22/10/2018
552;830;8;2;14/05/2020
553;525;1;2;16/09/2018
554;28;1;8;04/11/2018
555;991;10;5;09/12/2018
556;899;4;1;25/08/2019
557;448;6;2;30/08/2020
558;892;10;10;20/02/2019
559;817;4;6;09/06/2020
560;490;1;7;14/06/2018
561;898;3;7;31/03/2020
562;13;9;5;29/04/2019
563;199;5;8;23/08/2020
564;769;5;8;05/12/2018
565;670;4;3;18/03/2019
566;217;9;4;25/12/2019
567;738;7;8;22/09/2020
568;389;3;8;11/02/2019
569;657;4;1;08/01/2020
570;940;4;5;03/02/2019
571;424;2;10;05/07/2018
572;20;3;1;17/02/2019
573;89;5;1;14/07/2020
574;568;6;4;22/09/2019
575;697;2;7;30/06/2019
576;154;9;1;24/08/2019
577;659;7;2;09/03/2020
578;88;4;4;14/05/2018
579;547;5;7;24/04/2018
580;438;1;4;12/01/2018
581;149;1;6;16/06/2018
582;625;1;10;13/02/2018
583;46;7;9;08/07/2018
584;968;3;4;26/11/2019
585;619;5;4;04/11/2018
586;329;6;6;03/12/2018
587;311;3;8;20/02/2019
588;533;3;7;10/06/2019
589;603;1;2;10/03/2019
590;691;10;10;17/10/2018
591;897;10;7;06/10/2019
592;244;9;3;16/04/2020
593;471;7;3;22/07/2019
594;512;1;2;21/02/2018
595;273;1;2;13/11/2018
596;699;4;5;18/08/2019
597;666;6;7;10/04/2020
598;263;8;6;07/07/2018
599;744;5;5;14/05/2020
600;34;7;3;17/09/2020
601;148;2;6;28/07/2019
602;845;5;9;19/12/2018
603;721;8;4;27/06/2020
604;425;9;4;14/07/2020
605;400;6;5;24/02/2020
606;413;9;9;27/04/2020
607;717;5;9;24/06/2018
608;422;9;9;19/03/2019
609;248;10;9;21/07/2020
610;37;1;9;30/11/2019
611;364;10;6;20/04/2019
612;212;3;4;01/12/2018
613;929;1;6;29/01/2018
614;996;8;5;13/11/2018
615;557;6;10;23/02/2018
616;792;1;5;05/04/2019
617;121;4;6;24/04/2020
618;872;9;1;17/10/2018
619;735;8;3;14/07/2019
620;862;3;4;03/08/2019
621;89;1;2;26/07/2020
622;354;7;8;29/06/2018
623;297;4;10;30/01/2020
624;842;9;5;19/04/2018
625;417;9;7;26/08/2018
626;605;7;5;13/12/2018
627;851;6;4;07/06/2018
628;229;2;8;11/07/2020
629;451;1;5;24/06/2020
630;240;6;3;24/04/2018
631;247;3;6;01/08/2019
632;247;3;5;23/02/2019
633;663;7;8;05/06/2020
634;89;4;8;26/01/2018
635;277;1;7;10/09/2018
636;156;7;10;04/02/2020
637;298;5;5;14/09/2020
638;866;4;7;24/01/2018
639;811;3;8;27/06/2019
640;3;1;3;04/02/2018
641;807;3;8;17/01/2020
642;411;10;3;20/03/2020
643;828;1;8;17/11/2018
644;492;2;9;19/11/2019
645;174;3;7;19/12/2019
646;46;8;10;16/02/2020
647;610;10;6;11/10/2019
648;927;1;7;19/05/2018
649;913;3;4;24/03/2020
650;968;7;6;14/09/2018
651;526;7;9;11/06/2020
652;970;3;1;31/07/2019
653;86;7;7;26/07/2019
654;784;7;5;09/02/2019
655;315;7;3;06/12/2019
656;219;1;1;26/08/2020
657;251;10;9;22/07/2019
658;52;4;1;25/05/2018
659;320;9;6;04/10/2018
660;395;4;8;01/09/2020
661;907;3;1;24/01/2019
662;717;3;10;24/05/2019
663;488;4;4;09/06/2018
664;379;9;7;09/06/2019
665;743;6;10;07/01/2020
666;16;10;9;27/12/2018
667;308;10;5;04/08/2020
668;635;10;4;07/03/2018
669;340;5;5;07/04/2018
670;767;9;9;30/01/2018
671;705;5;3;01/07/2020
672;371;2;6;26/01/2020
673;26;8;4;20/05/2019
674;905;3;9;12/03/2020
675;971;2;3;22/02/2018
676;702;10;9;27/03/2018
677;910;1;8;23/06/2020
678;737;5;10;23/08/2020
679;903;4;5;05/04/2020
680;636;1;10;27/08/2018
681;133;7;4;05/01/2018
682;841;9;6;27/09/2019
683;113;9;5;06/12/2018
684;769;8;10;28/10/2018
685;498;7;10;14/03/2019
686;947;5;2;16/03/2019
687;664;10;4;21/10/2019
688;195;5;6;17/05/2020
689;412;1;7;23/02/2018
690;818;10;3;18/02/2020
691;252;1;7;27/04/2018
692;705;5;3;22/05/2019
693;776;8;10;10/06/2018
694;628;2;6;16/01/2019
695;228;9;2;28/11/2019
696;623;6;6;26/02/2019
697;402;3;10;06/03/2018
698;879;3;7;10/09/2020
699;745;8;9;25/05/2020
700;211;3;7;09/09/2018
701;233;8;3;26/12/2018
702;953;10;6;21/01/2020
703;107;6;10;21/01/2020
704;523;4;8;15/11/2018
705;969;9;9;13/06/2019
706;755;6;9;27/12/2019
707;360;5;5;07/12/2019
708;463;8;3;17/04/2018
709;370;9;6;03/09/2018
710;567;7;8;11/02/2018
711;178;4;9;16/04/2020
712;115;8;7;07/06/2019
713;808;7;10;07/07/2020
714;598;6;3;14/10/2018
715;412;10;10;22/07/2020
716;255;2;6;07/04/2019
717;506;4;6;05/05/2018
718;108;5;10;25/03/2019
719;946;4;8;09/03/2020
720;460;4;7;04/06/2018
721;428;10;10;08/07/2018
722;527;9;7;21/05/2018
723;691;3;8;29/12/2019
724;732;6;4;23/08/2020
725;894;5;3;12/06/2018
726;876;3;4;22/05/2018
727;179;2;7;02/07/2019
728;430;4;4;22/04/2020
729;478;4;2;10/07/2020
730;908;7;6;05/11/2018
731;645;4;2;23/01/2019
732;868;4;1;14/06/2019
733;116;5;1;27/10/2018
734;880;10;2;06/12/2019
735;109;5;4;23/07/2019
736;214;1;7;10/07/2018
737;471;7;8;22/10/2018
738;90;1;1;05/02/2020
739;557;3;1;05/10/2018
740;941;9;3;25/09/2019
741;436;9;3;12/05/2020
742;440;2;10;20/02/2019
743;138;8;6;29/03/2020
744;756;7;1;15/03/2020
745;199;10;4;25/06/2020
746;453;9;3;14/09/2019
747;188;9;1;06/08/2019
748;277;10;10;15/01/2019
749;414;4;7;17/03/2020
750;98;5;5;01/07/2019
751;171;9;3;09/08/2020
752;958;4;2;06/06/2019
753;278;6;4;27/04/2018
754;127;7;4;14/06/2018
755;270;9;2;22/03/2019
756;303;5;4;22/02/2018
757;112;8;4;02/06/2020
758;936;10;4;09/12/2019
759;399;1;10;01/02/2019
760;289;5;10;28/11/2018
761;763;4;7;23/12/2019
762;991;4;1;18/09/2019
763;700;2;3;26/04/2018
764;953;4;2;05/05/2019
765;915;7;6;20/05/2020
766;579;7;8;21/06/2018
767;698;8;5;01/08/2019
768;412;2;6;22/04/2019
769;767;1;9;11/06/2020
770;362;3;4;03/03/2020
771;871;6;5;15/02/2018
772;968;5;2;01/10/2019
773;304;7;4;01/02/2019
774;954;6;6;03/04/2020
775;909;9;10;28/06/2018
776;595;10;8;26/07/2019
777;484;8;3;15/10/2018
778;600;9;9;26/05/2019
779;960;2;10;04/02/2019
780;238;4;9;28/08/2020
781;559;5;2;13/12/2018
782;76;2;1;31/05/2019
783;67;8;10;27/12/2018
784;383;3;6;25/06/2019
785;530;10;8;02/10/2018
786;390;9;3;05/11/2018
787;898;2;8;22/10/2019
788;876;7;2;03/10/2018
789;554;10;4;01/07/2020
790;33;7;1;31/10/2019
791;143;9;2;19/04/2018
792;692;7;9;28/12/2019
793;371;9;3;14/07/2018
794;984;9;2;16/07/2020
795;580;4;6;20/02/2018
796;726;8;5;28/12/2019
797;111;6;5;16/02/2019
798;384;4;6;16/11/2018
799;162;7;7;13/04/2020
800;572;1;5;23/10/2019
801;736;7;7;15/09/2019
802;449;5;5;09/01/2019
803;431;8;9;28/09/2018
804;985;4;2;08/04/2018
805;186;4;8;06/08/2019
806;949;2;9;10/02/2018
807;545;1;5;29/01/2020
808;656;1;5;26/08/2019
809;380;1;7;01/06/2019
810;24;8;1;12/08/2020
811;499;4;9;19/09/2018
812;116;4;3;05/03/2018
813;200;1;10;06/08/2020
814;724;3;3;07/01/2020
815;781;2;10;08/08/2019
816;264;3;3;28/01/2019
817;423;2;1;23/02/2019
818;491;7;3;12/11/2018
819;329;5;2;09/04/2019
820;175;3;5;05/10/2018
821;583;2;1;04/01/2019
822;49;4;10;04/09/2019
823;967;7;10;15/07/2020
824;63;4;6;07/05/2018
825;57;4;1;26/08/2018
826;995;4;5;22/06/2019
827;589;7;2;09/04/2020
828;794;6;6;30/04/2020
829;468;1;4;28/08/2018
830;139;6;6;15/01/2020
831;296;10;10;21/01/2020
832;103;1;4;04/06/2020
833;930;6;1;27/09/2020
834;605;8;4;04/10/2018
835;549;6;9;07/04/2020
836;6;5;3;20/08/2019
837;803;2;10;01/10/2018
838;68;6;8;26/03/2019
839;156;8;3;16/07/2020
840;183;9;1;14/05/2018
841;250;4;6;08/09/2018
842;126;8;2;21/11/2018
843;329;8;1;28/11/2018
844;652;2;6;08/09/2020
845;847;2;7;26/05/2020
846;129;8;10;25/04/2018
847;430;10;10;04/07/2019
848;509;1;4;22/04/2018
849;582;5;2;12/08/2020
850;273;2;1;04/01/2018
851;659;6;9;21/04/2019
852;571;10;7;04/04/2019
853;907;4;10;20/09/2019
854;351;9;10;01/11/2018
855;715;10;8;02/03/2020
856;930;4;5;10/12/2018
857;394;6;6;28/12/2019
858;484;9;7;09/10/2019
859;734;8;1;12/01/2019
860;613;10;6;13/05/2020
861;112;4;4;13/01/2019
862;942;7;4;29/12/2018
863;199;9;2;18/05/2019
864;622;8;1;20/06/2020
865;765;6;9;27/05/2018
866;377;6;3;22/08/2020
867;615;4;4;08/01/2019
868;277;9;10;27/03/2018
869;523;6;7;12/04/2019
870;652;1;1;02/02/2020
871;767;8;5;18/02/2019
872;836;9;6;28/03/2018
873;987;2;7;03/10/2018
874;972;3;6;28/10/2019
875;521;4;9;14/09/2018
876;417;10;4;24/09/2019
877;548;2;3;25/01/2018
878;575;6;10;30/04/2020
879;746;8;9;17/02/2020
880;510;1;5;16/03/2019
881;354;7;2;24/03/2019
882;549;10;1;02/08/2018
883;367;8;5;06/04/2018
884;106;7;2;24/11/2019
885;22;4;3;22/06/2018
886;873;5;2;31/08/2019
887;644;4;2;09/08/2020
888;930;9;10;13/08/2019
889;115;7;1;27/10/2018
890;24;7;9;30/07/2019
891;292;9;4;30/04/2019
892;414;4;8;21/11/2018
893;997;5;5;23/02/2020
894;130;1;4;15/08/2019
895;20;4;5;19/02/2020
896;248;3;4;30/04/2019
897;876;6;9;14/05/2018
898;557;2;7;22/10/2018
899;130;9;6;04/06/2020
900;741;6;7;14/01/2020
901;804;5;3;12/08/2019
902;773;6;9;17/12/2018
903;634;3;1;15/09/2018
904;611;9;1;25/11/2019
905;261;8;9;26/12/2019
906;522;6;7;11/08/2020
907;264;6;5;21/02/2019
908;536;3;2;16/09/2020
909;983;6;1;29/01/2020
910;870;6;9;20/11/2019
911;458;7;4;20/02/2019
912;90;9;7;22/09/2020
913;780;6;1;20/01/2018
914;314;2;10;21/09/2019
915;668;6;1;31/05/2020
916;608;1;6;14/06/2018
917;259;6;2;18/12/2018
918;269;7;10;20/09/2018
919;729;6;4;08/11/2018
920;549;6;1;18/12/2019
921;127;2;6;26/02/2018
922;226;1;6;14/11/2019
923;592;3;5;13/07/2018
924;580;7;6;14/10/2019
925;987;5;3;05/05/2020
926;805;2;5;25/11/2019
927;266;4;4;15/06/2019
928;307;3;8;28/04/2020
929;315;5;4;09/06/2018
930;719;4;9;12/05/2018
